location_id,state,average_temperature,month
2100,Minnesota,68.8,July
2100,Minnesota,66.3,August
2100,Minnesota,56.8,September
2100,Minnesota,45,October
2100,Minnesota,27.9,November
2100,Minnesota,12.9,December
2200,Mississippi,45.1,January
2200,Mississippi,48.3,February
2200,Mississippi,55.6,March
2200,Mississippi,63.6,April
2200,Mississippi,71.3,May
2200,Mississippi,78.3,June
2200,Mississippi,80.8,July
2200,Mississippi,80.2,August
2200,Mississippi,75.1,September
2200,Mississippi,64.4,October
2200,Mississippi,53.9,November
2200,Mississippi,46.8,December
2300,Missouri,29.4,January
2300,Missouri,33.8,February
2300,Missouri,43.6,March
2300,Missouri,54.5,April
2300,Missouri,64.2,May
2300,Missouri,73,June
2300,Missouri,77.7,July
2300,Missouri,76,August
2300,Missouri,68.2,September
2300,Missouri,57,October
2300,Missouri,43.6,November
2300,Missouri,33,December
2400,Montana,16.7,January
2400,Montana,21.3,February
2400,Montana,29.4,March
2400,Montana,40.7,April
2400,Montana,50.2,May
2400,Montana,58.3,June
2400,Montana,65.7,July
2400,Montana,64.1,August
2400,Montana,53.8,September
2400,Montana,43.2,October
2400,Montana,29.5,November
2400,Montana,20.6,December
2500,Nebraska,22.1,January
2500,Nebraska,26.7,February
2500,Nebraska,35.8,March
2500,Nebraska,47.7,April
2500,Nebraska,58.4,May
2500,Nebraska,68.3,June
2500,Nebraska,74.5,July
2500,Nebraska,72.3,August
2500,Nebraska,62.8,September
2500,Nebraska,50.8,October
2500,Nebraska,35.9,November
2500,Nebraska,25.3,December
2600,Nevada,29.9,January
2600,Nevada,34.1,February
2600,Nevada,39.5,March
2600,Nevada,46.6,April
2600,Nevada,55,May
2600,Nevada,63.9,June
2600,Nevada,72.1,July
2600,Nevada,70.1,August
2600,Nevada,61.7,September
2600,Nevada,50.7,October
2600,Nevada,38.9,November
2600,Nevada,31.2,December
2700,New Hampshire,17.1,January
2700,New Hampshire,18.5,February
2700,New Hampshire,28.8,March
2700,New Hampshire,40.7,April
2700,New Hampshire,52.6,May
2700,New Hampshire,61.5,June
2700,New Hampshire,66.5,July
2700,New Hampshire,64.1,August
2700,New Hampshire,56.5,September
2700,New Hampshire,45.8,October
2700,New Hampshire,34.1,November
2700,New Hampshire,21.7,December
2800,New Jersey,29.6,January
2800,New Jersey,30.6,February
2800,New Jersey,39.3,March
2800,New Jersey,49.3,April
2800,New Jersey,59.8,May
2800,New Jersey,68.5,June
2800,New Jersey,73.5,July
2800,New Jersey,71.6,August
2800,New Jersey,65,September
2800,New Jersey,54,October
2800,New Jersey,43.1,November
2800,New Jersey,33,December
2900,New Mexico,33.6,January
2900,New Mexico,37.8,February
2900,New Mexico,43.5,March
2900,New Mexico,51.4,April
2900,New Mexico,60.2,May
2900,New Mexico,69.2,June
2900,New Mexico,72.7,July
2900,New Mexico,70.9,August
2900,New Mexico,64.5,September
2900,New Mexico,54.1,October
2900,New Mexico,42.1,November
2900,New Mexico,34.3,December
3000,New York,19.8,January
3000,New York,20.7,February
3000,New York,30.6,March
3000,New York,42.8,April
3000,New York,54.5,May
3000,New York,63.4,June
3000,New York,68.2,July
3000,New York,66,August
3000,New York,58.9,September
3000,New York,48,October
3000,New York,36.3,November
3000,New York,24.5,December
3100,North Carolina,40,January
3100,North Carolina,41.9,February
3100,North Carolina,49.3,March
3100,North Carolina,57.8,April
3100,North Carolina,66.4,May
3100,North Carolina,73.6,June
3100,North Carolina,76.9,July
3100,North Carolina,75.6,August
3100,North Carolina,70.2,September
3100,North Carolina,59.6,October
3100,North Carolina,49.3,November
3100,North Carolina,41.5,December
3200,North Dakota,6.4,January
3200,North Dakota,11.9,February
3200,North Dakota,24.8,March
3200,North Dakota,41.2,April
3200,North Dakota,53.7,May
3200,North Dakota,62.9,June
3200,North Dakota,69,July
3200,North Dakota,66.9,August
3200,North Dakota,56.3,September
3200,North Dakota,44,October
3200,North Dakota,26.4,November
3200,North Dakota,12.7,December
3300,Ohio,26.9,January
3300,Ohio,29,February
3300,Ohio,38.5,March
3300,Ohio,49.2,April
3300,Ohio,60,May
3300,Ohio,68.9,June
3300,Ohio,73,July
3300,Ohio,70.9,August
3300,Ohio,64.5,September
3300,Ohio,52.8,October
3300,Ohio,40.8,November
3300,Ohio,30.4,December
3400,Oklahoma,36.5,January
3400,Oklahoma,41.2,February
3400,Oklahoma,49.3,March
3400,Oklahoma,59.4,April
3400,Oklahoma,68,May
3400,Oklahoma,76.9,June
3400,Oklahoma,81.7,July
3400,Oklahoma,80.9,August
3400,Oklahoma,73.1,September
3400,Oklahoma,61.6,October
3400,Oklahoma,48.4,November
3400,Oklahoma,38.9,December
3500,Oregon,30.2,January
3500,Oregon,34.1,February
3500,Oregon,38.3,March
3500,Oregon,43.9,April
3500,Oregon,50.5,May
3500,Oregon,57.2,June
3500,Oregon,64.8,July
3500,Oregon,63.9,August
3500,Oregon,57.3,September
3500,Oregon,48.1,October
3500,Oregon,37.7,November
3500,Oregon,31.8,December
3600,Pennsylvania,25.3,January
3600,Pennsylvania,26.5,February
3600,Pennsylvania,35.8,March
3600,Pennsylvania,46.8,April
3600,Pennsylvania,57.6,May
3600,Pennsylvania,66,June
3600,Pennsylvania,70.4,July
3600,Pennsylvania,68.4,August
3600,Pennsylvania,61.7,September
3600,Pennsylvania,50.6,October
3600,Pennsylvania,39.3,November
3600,Pennsylvania,28.9,December
3700,Rhode Island,27.2,January
3700,Rhode Island,27.8,February
3700,Rhode Island,36.1,March
3700,Rhode Island,45.7,April
3700,Rhode Island,56.1,May
3700,Rhode Island,64.7,June
3700,Rhode Island,70.3,July
3700,Rhode Island,68.7,August
3700,Rhode Island,61.9,September
3700,Rhode Island,51.9,October
3700,Rhode Island,41.5,November
3700,Rhode Island,31,December
3800,South Carolina,44.6,January
3800,South Carolina,46.8,February
3800,South Carolina,53.9,March
3800,South Carolina,61.9,April
3800,South Carolina,70.3,May
3800,South Carolina,77,June
3800,South Carolina,79.9,July
3800,South Carolina,78.7,August
3800,South Carolina,73.7,September
3800,South Carolina,63.2,October
3800,South Carolina,53.1,November
3800,South Carolina,45.6,December
3900,South Dakota,15,January
3900,South Dakota,19.9,February
3900,South Dakota,30.8,March
3900,South Dakota,44.7,April
3900,South Dakota,56,May
3900,South Dakota,65.7,June
3900,South Dakota,72.6,July
3900,South Dakota,70.5,August
3900,South Dakota,60.2,September
3900,South Dakota,47.8,October
3900,South Dakota,31.7,November
3900,South Dakota,19.7,December
4000,Tennessee,37.2,January
4000,Tennessee,40.1,February
4000,Tennessee,48.4,March
4000,Tennessee,57.6,April
4000,Tennessee,66.1,May
4000,Tennessee,73.8,June
4000,Tennessee,77.1,July
4000,Tennessee,76,August
4000,Tennessee,70.2,September
4000,Tennessee,58.8,October
4000,Tennessee,47.4,November
4000,Tennessee,39.2,December
4100,Texas,45.4,January
4100,Texas,49.4,February
4100,Texas,56.3,March
4100,Texas,64.8,April
4100,Texas,72.5,May
4100,Texas,79.6,June
4100,Texas,82.3,July
4100,Texas,81.9,August
4100,Texas,75.9,September
4100,Texas,66.1,October
4100,Texas,54.6,November
4100,Texas,46.9,December
4200,Utah,25.3,January
4200,Utah,30.3,February
4200,Utah,37.3,March
4200,Utah,45.5,April
4200,Utah,54.7,May
4200,Utah,64,June
4200,Utah,71.5,July
4200,Utah,69.4,August
4200,Utah,60.6,September
4200,Utah,48.9,October
4200,Utah,36,November
4200,Utah,27,December
4300,Vermont,15.3,January
4300,Vermont,16.5,February
4300,Vermont,27.2,March
4300,Vermont,39.9,April
4300,Vermont,52.2,May
4300,Vermont,61,June
4300,Vermont,65.9,July
4300,Vermont,63.4,August
4300,Vermont,56,September
4300,Vermont,45.2,October
4300,Vermont,33.2,November
4300,Vermont,20.2,December
4400,Virginia,34.8,January
4400,Virginia,36.7,February
4400,Virginia,44.7,March
4400,Virginia,54,April
4400,Virginia,63.2,May
4400,Virginia,70.9,June
4400,Virginia,74.7,July
4400,Virginia,73.1,August
4400,Virginia,67.1,September
4400,Virginia,56.2,October
4400,Virginia,45.5,November
4400,Virginia,36.8,December
4500,Washington,28.4,January
4500,Washington,33.1,February
4500,Washington,38.6,March
4500,Washington,45.1,April
4500,Washington,51.8,May
4500,Washington,57.7,June
4500,Washington,64,July
4500,Washington,63.5,August
4500,Washington,56.9,September
4500,Washington,47.2,October
4500,Washington,36.6,November
4500,Washington,30.6,December
4600,West Virginia,30.5,January
4600,West Virginia,32.7,February
4600,West Virginia,41.1,March
4600,West Virginia,50.9,April
4600,West Virginia,60.5,May
4600,West Virginia,68.1,June
4600,West Virginia,71.9,July
4600,West Virginia,70.4,August
4600,West Virginia,64.4,September
4600,West Virginia,53.3,October
4600,West Virginia,42.1,November
4600,West Virginia,33.1,December
4700,Wisconsin,12.4,January
4700,Wisconsin,16.4,February
4700,Wisconsin,28.3,March
4700,Wisconsin,42.6,April
4700,Wisconsin,54.6,May
4700,Wisconsin,64.1,June
4700,Wisconsin,68.9,July
4700,Wisconsin,66.4,August
4700,Wisconsin,58,September
4700,Wisconsin,46.8,October
4700,Wisconsin,31.6,November
4700,Wisconsin,18.1,December
4800,Wyoming,18.4,January
4800,Wyoming,22.3,February
4800,Wyoming,29.1,March
4800,Wyoming,38.8,April
4800,Wyoming,48.4,May
4800,Wyoming,57.6,June
4800,Wyoming,65.3,July
4800,Wyoming,63.4,August
4800,Wyoming,53.6,September
4800,Wyoming,42.5,October
4800,Wyoming,29,November
4800,Wyoming,20.6,December
